2025,Institution,Country / Territory,Rank2025,institution_clean
301-350,Illinois Institute of Technology,United States of America,325.5,illinois institute of technology
301-350,Institut National des Sciences Appliquées de Lyon (INSA),France,325.5,institut national des sciences appliques de lyon insa
301-350,Koç University,Türkiye,325.5,ko university
301-350,Kyushu University,Japan,325.5,kyushu university
301-350,Lebanese University,Lebanon,325.5,lebanese university
301-350,Linköping University,Sweden,325.5,linkping university
301-350,Maastricht University,Netherlands,325.5,maastricht university
301-350,National Taipei University of Technology,Taiwan,325.5,national taipei university of technology
301-350,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,325.5,pontifcia universidade catlica do rio de janeiro
301-350,Quaid-i-Azam University,Pakistan,325.5,quaidiazam university
301-350,Sharif University of Technology,Iran (Islamic Republic of),325.5,sharif university of technology
301-350,Singapore University of Technology and Design,Singapore,325.5,singapore university of technology and design
301-350,Swinburne University of Technology,Australia,325.5,swinburne university of technology
301-350,Tampere University,Finland,325.5,tampere university
301-350,The Hebrew University of Jerusalem,Israel,325.5,the hebrew university of jerusalem
301-350,The University of Arizona,United States of America,325.5,the university of arizona
301-350,Ulsan National Institute of Science and Technology (UNIST),Republic of Korea,325.5,ulsan national institute of science and technology unist
301-350,Università Commerciale Luigi Bocconi (Bocconi University),Italy,325.5,universit commerciale luigi bocconi bocconi university
301-350,Universität Hamburg,Germany,325.5,universitt hamburg
301-350,Universität Stuttgart,Germany,325.5,universitt stuttgart
301-350,Université de Rennes 1 (University of Rennes),France,325.5,universit de rennes 1 university of rennes
301-350,Université Paris 1 Panthéon-Sorbonne,France,325.5,universit paris 1 panthonsorbonne
301-350,Université Paris Cité,France,325.5,universit paris cit
301-350,Universiti Teknologi PETRONAS (UTP),Malaysia,325.5,universiti teknologi petronas utp
301-350,University College Cork,Ireland,325.5,university college cork
301-350,University of Bergen,Norway,325.5,university of bergen
301-350,University of Central Florida,United States of America,325.5,university of central florida
301-350,University of Geneva,Switzerland,325.5,university of geneva
301-350,University of Naples - Federico II,Italy,325.5,university of naples federico ii
301-350,University of Notre Dame,United States of America,325.5,university of notre dame
301-350,University of Porto,Portugal,325.5,university of porto
301-350,University of Rochester,United States of America,325.5,university of rochester
301-350,"University of Rome ""Tor Vergata""",Italy,325.5,university of rome tor vergata
301-350,University of Science and Technology Beijing,China (Mainland),325.5,university of science and technology beijing
301-350,University of South Australia,Australia,325.5,university of south australia
301-350,University of St.Gallen (HSG),Switzerland,325.5,university of stgallen hsg
301-350,University of Utah,United States of America,325.5,university of utah
301-350,University of Victoria (UVic),Canada,325.5,university of victoria uvic
301-350,Vanderbilt University,United States of America,325.5,vanderbilt university
301-350,Zayed University,United Arab Emirates,325.5,zayed university
351-400,Ain Shams University,Egypt,375.5,ain shams university
351-400,Beirut Arab University,Lebanon,375.5,beirut arab university
351-400,Brunel University London,United Kingdom,375.5,brunel university london
351-400,Chulalongkorn University,Thailand,375.5,chulalongkorn university
351-400,Chung-Ang University (CAU),Republic of Korea,375.5,chungang university cau
351-400,City. University of London,United Kingdom,375.5,city university of london
351-400,Ecole des Ponts ParisTech,France,375.5,ecole des ponts paristech
351-400,Georgia State University,United States of America,375.5,georgia state university
351-400,Hamad Bin Khalifa University,Qatar,375.5,hamad bin khalifa university
351-400,Heriot-Watt University,United Kingdom,375.5,heriotwatt university
351-400,Hunan University,China (Mainland),375.5,hunan university
351-400,Iowa State University,United States of America,375.5,iowa state university
351-400,King Khalid University,Saudi Arabia,375.5,king khalid university
351-400,La Trobe University,Australia,375.5,la trobe university
351-400,Nagoya University,Japan,375.5,nagoya university
351-400,Nankai University,China (Mainland),375.5,nankai university
351-400,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russian Federation,375.5,national research nuclear university mephi moscow engineering physics institute
351-400,Novosibirsk State University,Russian Federation,375.5,novosibirsk state university
351-400,Prince Mohammad Bin Fahd university,Saudi Arabia,375.5,prince mohammad bin fahd university
351-400,Princess Sumaya University for Technology,Jordan,375.5,princess sumaya university for technology
351-400,Radboud University,Netherlands,375.5,radboud university
351-400,Sichuan University,China (Mainland),375.5,sichuan university
351-400,South China University of Technology,China (Mainland),375.5,south china university of technology
351-400,Southeast University,China (Mainland),375.5,southeast university
351-400,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,India,375.5,srm institute of science and technology
351-400,Stony Brook University. State University of New York,United States of America,375.5,stony brook university state university of new york
351-400,Tallinn University of Technology (TalTech),Estonia,375.5,tallinn university of technology taltech
351-400,UNESP,Brazil,375.5,unesp
351-400,Universidad Técnica Federico Santa María (USM),Chile,375.5,universidad tcnica federico santa mara usm
351-400,Universidade Federal do Rio Grande Do Sul,Brazil,375.5,universidade federal do rio grande do sul
351-400,Universidade Nova de Lisboa,Portugal,375.5,universidade nova de lisboa
351-400,Universitas Indonesia,Indonesia,375.5,universitas indonesia
351-400,Université Paul Sabatier Toulouse III,France,375.5,universit paul sabatier toulouse iii
351-400,University at Buffalo SUNY,United States of America,375.5,university at buffalo suny
351-400,University of Bath,United Kingdom,375.5,university of bath
351-400,University of Bern,Switzerland,375.5,university of bern
351-400,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,375.5,university of canterbury te whare wnanga o waitaha
351-400,University of Cape Town,South Africa,375.5,university of cape town
351-400,University of Coimbra,Portugal,375.5,university of coimbra
351-400,University of Colorado Boulder,United States of America,375.5,university of colorado boulder
351-400,University of Leicester,United Kingdom,375.5,university of leicester
351-400,University of Sharjah,United Arab Emirates,375.5,university of sharjah
351-400,University of Strathclyde,United Kingdom,375.5,university of strathclyde
351-400,University of Tartu,Estonia,375.5,university of tartu
351-400,University of Tehran,Iran (Islamic Republic of),375.5,university of tehran
351-400,University of Turin,Italy,375.5,university of turin
351-400,USI - Università della Svizzera italiana,Switzerland,375.5,usi universit della svizzera italiana
351-400,Vrije Universiteit Brussel (VUB),Belgium,375.5,vrije universiteit brussel vub
351-400,Washington State University,United States of America,375.5,washington state university
351-400,Washington University in St. Louis,United States of America,375.5,washington university in st louis
351-400,Xidian University,China (Mainland),375.5,xidian university
401-450,Aix-Marseille University,France,425.5,aixmarseille university
401-450,Ajou University,Republic of Korea,425.5,ajou university
401-450,American University of Sharjah,United Arab Emirates,425.5,american university of sharjah
401-450,Aston University,United Kingdom,425.5,aston university
401-450,Auckland University of Technology (AUT),New Zealand,425.5,auckland university of technology aut
401-450,Beijing University of Technology,China (Mainland),425.5,beijing university of technology
401-450,Bina Nusantara University (BINUS),Indonesia,425.5,bina nusantara university binus
401-450,Brno University of Technology,Czechia,425.5,brno university of technology
401-450,Case Western Reserve University,United States of America,425.5,case western reserve university
401-450,Cranfield University,United Kingdom,425.5,cranfield university
401-450,Curtin University,Australia,425.5,curtin university
401-450,Dartmouth College,United States of America,425.5,dartmouth college
401-450,Emory University,United States of America,425.5,emory university
401-450,Essex. University of,United Kingdom,425.5,essex university of
401-450,Florida State University,United States of America,425.5,florida state university
401-450,Goethe-University Frankfurt am Main,Germany,425.5,goetheuniversity frankfurt am main
401-450,Gwangju Institute of Science and Technology (GIST),Republic of Korea,425.5,gwangju institute of science and technology gist
401-450,Hong Kong Baptist University,Hong Kong SAR. China,425.5,hong kong baptist university
401-450,Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,425.5,imam mohammad ibn saud islamic university imsiu
401-450,Indian Statistical Institute,India,425.5,indian statistical institute
401-450,Jagiellonian University,Poland,425.5,jagiellonian university
401-450,Kyungpook National University,Republic of Korea,425.5,kyungpook national university
401-450,Leibniz University Hannover,Germany,425.5,leibniz university hannover
